"year","K_net_cc","K_net_chain","K_net_hist","D_cc","IG_cc","asset","K_gross_cc","p_K_raw","p_K","K_net_real","IG_real","D_real","K_gross_real"
1941,87.81,2.49,63.14,2.46,5.27,"RC",90.27,35.2650602409639,0.167928858290304,522.9,31.3823368636829,14.6490604714725,537.549060471472
1942,90.71,2.69,66.45,2.54,5.44,"RC",93.25,33.7211895910781,0.160577093290848,564.9,33.8778084003969,15.8179473045971,580.717947304597
1943,93.71,2.9,69.94,2.62,5.62,"RC",96.33,32.3137931034483,0.153875205254516,609,36.5231031906947,17.0267847614982,626.026784761498
1944,96.8,3.14,73.6,2.71,5.81,"RC",99.51,30.828025477707,0.146800121322414,659.4,39.5776239669421,18.4604752066116,677.860475206612
1945,100,3.39,77.46,2.8,6,"RC",102.8,29.4985250737463,0.14046916701784,711.9,42.714,19.9332,731.8332
1946,114.87,3.66,81.52,3.22,18.09,"RC",118.09,31.3852459016393,0.149453551912568,768.6,121.040950639854,21.545155393053,790.145155393053
1947,131.95,3.96,85.79,3.69,20.77,"RC",135.64,33.3207070707071,0.158670033670034,831.6,130.900583554377,23.2558090185676,854.855809018568
1948,151.57,4.28,90.29,4.24,23.86,"RC",155.81,35.4135514018692,0.16863595905652,898.8,141.488210067955,25.1429174638781,923.942917463878
1949,174.11,4.63,95.02,4.88,27.42,"RC",178.99,37.6047516198704,0.179070245808907,972.3,153.124266268451,27.2518752512779,999.551875251278
1950,200,5,100,5.6,31.49,"RC",205.6,40,0.19047619047619,1050,165.3225,29.4,1079.4
1951,223.69,5.3,109.6,6.26,29.95,"RC",229.95,42.2056603773585,0.200979335130279,1113,149.020295945281,31.1474808887299,1144.14748088873
1952,250.18,5.62,120.11,7,33.49,"RC",257.18,44.5160142348754,0.211981020166074,1180.2,157.985842193621,33.0218242865137,1213.22182428651
1953,279.8,5.96,131.64,7.83,37.46,"RC",287.63,46.9463087248322,0.22355385107063,1251.6,167.565889921372,35.0251179413867,1286.62511794139
1954,312.94,6.33,144.27,8.76,41.9,"RC",321.7,49.4375987361769,0.235417136838938,1329.3,177.981945420847,37.2105451524254,1366.51054515243
1955,350,6.71,158.11,9.8,46.86,"RC",359.8,52.1609538002981,0.248385494287134,1409.1,188.65836,39.4548,1448.5548
1956,375.88,7.11,173.29,10.52,36.4,"RC",386.4,52.8663853727145,0.251744692251021,1493.1,144.590933276578,41.7883686282856,1534.88836862829
1957,403.67,7.55,189.91,11.3,39.09,"RC",414.97,53.4662251655629,0.254601072216966,1585.5,153.534310203879,44.3831595114822,1629.88315951148
1958,433.52,8,208.14,12.14,41.99,"RC",445.66,54.19,0.258047619047619,1680,162.721904410408,47.0455803653811,1727.04558036538
1959,465.57,8.49,228.11,13.04,45.09,"RC",478.61,54.8374558303887,0.26113074204947,1782.9,172.672124492558,49.9366711772666,1832.83667117727
1960,500,9,250,14,48.43,"RC",514,55.5555555555556,0.264550264550265,1890,183.0654,52.92,1942.92
1961,531.71,9.47,264.54,14.89,46.6,"RC",546.6,56.1467793030623,0.267365615728868,1988.7,174.293167328055,55.6915292170544,2044.39152921705
1962,565.44,9.97,279.93,15.83,49.56,"RC",581.27,56.7141424272818,0.270067344891818,2093.7,183.509783531409,58.6150095500849,2152.31500955009
1963,601.3,10.49,296.21,16.84,52.7,"RC",618.14,57.3212583412774,0.272958373053702,2202.9,193.069732246799,61.6943888242142,2264.59438882421
1964,639.44,11.04,313.43,17.9,56.04,"RC",657.34,57.9202898550725,0.275810904071774,2318.4,203.182684849243,64.8995370949581,2383.29953709496
1965,680,11.62,331.66,19.04,59.6,"RC",699.04,58.5197934595525,0.278665683140726,2440.2,213.876352941176,68.3256,2508.5256
1966,728.55,12.23,350.95,20.4,68.95,"RC",748.95,59.5707277187244,0.283670131993926,2568.3,243.064010706197,71.914515132798,2640.2145151328
1967,780.57,12.87,371.36,21.86,73.88,"RC",802.43,60.6503496503497,0.288811188811189,2702.7,255.807263922518,75.689588377724,2778.38958837772
1968,836.31,13.54,392.96,23.42,79.15,"RC",859.73,61.7658788774003,0.294123232749525,2843.4,269.104889335294,79.6264877856297,2923.02648778563
1969,896.02,14.25,415.82,25.09,84.8,"RC",921.11,62.8785964912281,0.299421888053467,2992.5,283.212428294011,83.7948092676503,3076.29480926765
1970,960,15,440,26.88,90.86,"RC",986.88,64,0.304761904761905,3150,298.134375,88.2,3238.2
1971,1082.49,15.91,486.44,30.31,152.8,"RC",1112.8,68.0383406662476,0.323992098410703,3341.1,471.616439874733,93.5516642186071,3434.65166421861
1972,1220.61,16.87,537.77,34.18,172.3,"RC",1254.79,72.3538826318909,0.3445422982471,3542.7,500.083736820115,99.2040750116745,3641.90407501167
1973,1376.36,17.89,594.53,38.54,194.28,"RC",1414.9,76.9346003353829,0.366355239692299,3756.9,530.304958005173,105.198440814903,3862.0984408149
1974,1551.97,18.98,657.27,43.46,219.08,"RC",1595.43,81.7687038988409,0.389374780470671,3985.8,562.645582066664,111.614830183573,4097.41483018357
1975,1750,20.12,726.64,49,247.03,"RC",1799,86.9781312127237,0.414181577203446,4225.2,596.429232,118.3056,4343.5056
1976,1986.7,21.34,803.32,55.63,292.33,"RC",2042.33,93.0974695407685,0.443321283527469,4481.4,659.408900186238,125.484613680978,4606.88461368098
1977,2255.43,22.64,888.1,63.15,331.87,"RC",2318.58,99.6214664310954,0.474387935386169,4754.4,699.575126694245,133.118899722004,4887.518899722
1978,2560.49,24.01,981.83,71.69,376.76,"RC",2632.18,106.642648896293,0.507822137601396,5042.1,741.913304094138,141.171474600565,5183.27147460056
1979,2906.82,25.46,1085.45,81.39,427.72,"RC",2988.21,114.172034564022,0.543676355066771,5346.6,786.718046525069,149.703034243606,5496.30303424361
1980,3300,27,1200,92.4,485.58,"RC",3392.4,122.222222222222,0.582010582010582,5670,834.314727272727,158.76,5828.76
1981,3571.5,28.6,1342.11,100,371.5,"RC",3671.5,124.877622377622,0.594655344655345,6006,624.731625367493,168.164636707266,6174.16463670727
1982,3865.33,30.29,1501.05,108.23,402.06,"RC",3973.56,127.61076262793,0.607670298228238,6360.9,661.641684927289,178.106450678209,6539.00645067821
1983,4183.34,32.09,1678.82,117.13,435.14,"RC",4300.47,130.362729822375,0.620774903916069,6738.9,700.962615039657,188.683529667682,6927.58352966768
1984,4527.51,33.99,1877.64,126.77,470.94,"RC",4654.28,133.201235657546,0.634291598369268,7137.9,742.466085331672,199.860758562654,7337.76075856265
1985,4900,36,2100,137.2,509.69,"RC",5037.2,136.111111111111,0.648148148148148,7560,786.378857142857,211.68,7771.68
1986,5200.75,38.13,2298.68,145.62,446.37,"RC",5346.37,136.395226855494,0.649501080264259,8007.3,687.250589049656,224.202860356679,8231.50286035668
1987,5519.95,40.39,2516.15,154.56,473.76,"RC",5674.51,136.666254023273,0.65079168582511,8481.9,727.974880931893,237.495351226008,8719.39535122601
1988,5858.75,42.78,2754.2,164.04,502.84,"RC",6022.79,136.950677886863,0.652146085175538,8983.8,771.054233752934,251.538733006187,9235.33873300619
1989,6218.34,45.32,3014.78,174.11,533.7,"RC",6392.45,137.209620476611,0.653379145126718,9517.2,816.830478873783,266.476212622661,9783.67621262266
1990,6600,48,3300,184.8,566.46,"RC",6784.8,137.5,0.654761904761905,10080,865.138909090909,282.24,10362.24
1991,6824.24,49.32,3463.07,191.08,415.32,"RC",7015.32,138.366585563666,0.658888502684123,10357.2,630.334264914481,290.003542665557,10647.2035426656
1992,7056.09,50.69,3634.19,197.57,429.42,"RC",7253.66,139.200828565792,0.662861088408534,10644.9,647.828040458668,298.056415521911,10942.9564155219
1993,7295.82,52.09,3813.78,204.28,444.01,"RC",7500.1,140.061816087541,0.666961028988289,10938.9,665.721055206954,306.284761959588,11245.1847619596
1994,7543.7,53.52,4002.23,211.22,459.1,"RC",7754.92,140.951046337818,0.671195458751512,11239.2,684.003435979692,314.692236435701,11553.8922364357
1995,7800,55,4200,218.4,474.7,"RC",8018.4,141.818181818182,0.675324675324675,11550,702.921153846154,323.4,11873.4
1996,8277.77,56.87,4480.07,231.78,709.55,"RC",8509.55,145.55600492351,0.693123832969094,11942.7,1023.69874797198,334.399120294475,12277.0991202945
1997,8784.81,58.8,4778.82,245.97,753.01,"RC",9030.78,149.401530612245,0.711435860058309,12348,1058.43694741264,345.737421754142,12693.7374217541
1998,9322.91,60.8,5097.49,261.04,799.14,"RC",9583.95,153.337335526316,0.730177788220551,12768,1094.44578141374,357.501973096383,13125.5019730964
1999,9893.96,62.86,5437.41,277.03,848.09,"RC",10170.99,157.396754692968,0.749508355680802,13200.6,1131.52841268815,369.615625897012,13570.215625897
2000,10500,65,5800,294,900.04,"RC",10794,161.538461538462,0.769230769230769,13650,1170.052,382.2,14032.2
2001,11562.22,67.76,6260.75,323.74,1385.96,"RC",11885.96,170.634887839433,0.812547084949682,14229.6,1705.69807666694,398.426141692512,14628.0261416925
2002,12731.9,70.63,6758.1,356.49,1526.17,"RC",13088.39,180.261928359054,0.858390135043115,14832.3,1777.94447733645,415.300672091361,15247.6006720914
2003,14019.91,73.62,7294.95,392.56,1680.57,"RC",14412.47,190.43615865254,0.906838850726381,15460.2,1853.21791038602,432.88837888403,15893.088378884
2004,15438.21,76.75,7874.46,432.27,1850.58,"RC",15870.48,201.149315960912,0.957853885528153,16117.5,1932.0065700622,451.290125280068,16568.7901252801
2005,17000,80,8500,476,2037.79,"RC",17476,212.5,1.01190476190476,16800,2013.816,470.4,17270.4
2006,17972.2,80.4,8691.2,503.22,1475.42,"RC",18475.42,223.534825870647,1.06445155176498,16884,1386.08469080024,472.750496878512,17356.7504968785
2007,19000,80.79,8886.71,532,1559.8,"RC",19532,235.177620992697,1.11989343329856,16965.9,1392.81109578947,475.0452,17440.9452
2008,17753.32,81.19,9086.61,497.09,0.1,"RC",18250.41,218.663874861436,1.04125654695922,17049.9,0.0960378115191975,477.394357280779,17527.2943572808
2009,16588.44,81.6,9291,464.48,0.1,"RC",17052.92,203.289705882353,0.968046218487395,17136,0.103300852883092,479.811801471386,17615.8118014714
2010,15500,82,9500,434,0.1,"RC",15934,189.024390243902,0.900116144018583,17220,0.111096774193548,482.16,17702.16
2011,16058.31,83.17,9782.67,449.63,1007.94,"RC",16507.94,193.078153180233,0.91941977704873,17465.7,1096.27835419792,489.036685118172,17954.7366851182
2012,16636.72,84.35,10073.75,465.83,1044.25,"RC",17102.55,197.234380557202,0.939211335986677,17713.5,1111.8370913858,495.979959090494,18209.4799590905
2013,17235.97,85.55,10373.49,482.61,1081.86,"RC",17718.58,201.472472238457,0.959392724945034,17965.5,1127.65082731056,503.036960205895,18468.5369602059
2014,17856.8,86.77,10682.15,499.99,1120.82,"RC",18356.79,205.794629480235,0.979974426096358,18221.7,1143.7237239595,510.207191826083,18731.9071918261
2015,18500,88,11000,518,1161.2,"RC",19018,210.227272727273,1.00108225108225,18480,1159.94464864865,517.44,18997.44
2016,19710.4,93.81,11726.04,551.89,1762.29,"RC",20262.29,210.109796396973,1.00052283998558,19700.1,1761.36908581257,551.60160062708,20251.7016006271
2017,21000,100,12500,588,1877.6,"RC",21588,210,1,21000,1877.6,588,21588
2018,22404.04,102.6,13133.97,627.31,2031.35,"RC",23031.35,218.362962962963,1.03982363315697,21546,1953.55244411276,603.284999491163,22149.2849994912
2019,23901.94,105.26,13800.09,669.25,2167.16,"RC",24571.19,227.075242257268,1.08131067741556,22104.6,2004.19735536111,618.924804848477,22723.5248048485
2020,25500,108,14500,714,2312.06,"RC",26214,236.111111111111,1.12433862433862,22680,2056.37336470588,635.04,23315.04
2021,27504.9,111.24,15583.66,770.14,2775.04,"RC",28275.04,247.257281553398,1.17741562644475,23360.4,2356.8907509571,654.093578089722,24014.4935780897
2022,29667.44,114.57,16748.31,830.69,2993.23,"RC",30498.13,258.945971894911,1.23307605664244,24059.7,2427.44961584147,673.672962446372,24733.3729624464
2023,32000,118,18000,896,3228.56,"RC",32896,271.186440677966,1.29136400322841,24780,2500.11615,693.84,25473.84
