"year","K_net_cc","K_net_chain","K_net_hist","D_cc","IG_cc","asset","K_gross_cc","p_K_raw","p_K","K_net_real","IG_real","D_real","K_gross_real"
1981,145.71,5.74,95.23,29.14,44.85,"IP",174.85,25.3850174216028,0.906607765057242,160.72,49.4701255919292,32.1417939743326,192.861793974333
1982,163.33,6.6,106.68,32.67,50.28,"IP",196,24.7469696969697,0.883820346320346,184.8,56.8893895793792,36.9645258066491,221.764525806649
1983,183.07,7.58,119.51,36.61,56.35,"IP",219.68,24.1517150395778,0.862561251413494,212.24,65.3286939422079,42.4433626481674,254.683362648167
1984,205.2,8.71,133.89,41.04,63.17,"IP",246.24,23.5591274397245,0.841397408561588,243.88,75.0774834307992,48.776,292.656
1985,230,10,150,46,70.8,"IP",276,23,0.821428571428571,280,86.1913043478261,56,336
1986,252.94,11.25,167.44,50.59,73.53,"IP",303.53,22.4835555555556,0.802984126984127,315,91.5709259112833,63.0024907092591,378.002490709259
1987,278.17,12.65,186.91,55.63,80.86,"IP",333.8,21.9897233201581,0.785347261434218,354.2,102.960822518604,70.8349067117231,425.034906711723
1988,305.92,14.23,208.65,61.18,88.93,"IP",367.1,21.4982431482783,0.767794398152796,398.44,115.825278504184,79.6827902719665,478.122790271967
1989,336.44,16,232.91,67.29,97.81,"IP",403.73,21.0275,0.750982142857143,448,130.24277731542,89.6026631791702,537.60266317917
1990,370,18,260,74,107.56,"IP",444,20.5555555555556,0.734126984126984,504,146.514162162162,100.8,604.8
1991,404.81,19.94,286.17,80.96,115.77,"IP",485.77,20.3014042126379,0.725050150451354,558.32,159.671713643438,111.661241570119,669.981241570119
1992,442.89,22.08,314.98,88.58,126.66,"IP",531.47,20.0584239130435,0.716372282608696,618.24,176.807510668563,123.650791844476,741.890791844476
1993,484.55,24.46,346.69,96.91,138.57,"IP",581.46,19.8098937040065,0.707496203714519,684.88,195.85970818285,136.976,821.856
1994,530.13,27.09,381.59,106.03,151.61,"IP",636.16,19.5692137320044,0.69890049042873,758.52,216.926446720616,151.709723275423,910.229723275423
1995,580,30,420,116,165.87,"IP",696,19.3333333333333,0.69047619047619,840,240.225517241379,168,1008
1996,637.44,33.23,462.49,127.49,184.93,"IP",764.93,19.1826662654228,0.6850952237651,930.44,269.93327873996,186.090919302209,1116.53091930221
1997,700.57,36.8,509.28,140.11,203.24,"IP",840.68,19.0372282608696,0.67990100931677,1030.4,298.925868935296,206.074116790613,1236.47411679061
1998,769.95,40.76,560.8,153.99,223.37,"IP",923.94,18.889842983317,0.674637249404178,1141.28,331.096452496915,228.256,1369.536
1999,846.2,45.14,617.53,169.24,245.49,"IP",1015.44,18.7461231723527,0.669504399012596,1263.92,366.674215079177,252.784,1516.704
2000,930,50,680,186,269.8,"IP",1116,18.6,0.664285714285714,1400,406.150537634409,280,1680
2001,986.66,52.69,719.21,197.33,253.99,"IP",1183.99,18.725754412602,0.668776943307215,1475.32,379.78282974885,295.06100946628,1770.38100946628
2002,1046.78,55.53,760.68,209.36,269.47,"IP",1256.14,18.8507113272105,0.673239690257518,1554.84,400.258635816504,310.973941420356,1865.81394142036
2003,1110.55,58.52,804.54,222.11,285.89,"IP",1332.66,18.9772727272727,0.67775974025974,1638.56,421.816143712575,327.712,1966.272
2004,1178.22,61.68,850.93,235.64,303.3,"IP",1413.86,19.102140077821,0.682219288493608,1727.04,444.57845903142,345.402136782604,2072.4421367826
2005,1250,65,900,250,321.78,"IP",1500,19.2307692307692,0.686813186813187,1820,468.51168,364,2184
2006,1329.28,67.41,961.12,265.86,345.14,"IP",1595.14,19.7193294763388,0.704261767012101,1887.48,490.073458714492,377.501679706307,2264.98167970631
2007,1413.6,69.92,1026.38,282.72,367.03,"IP",1696.32,20.2173913043478,0.722049689440994,1957.76,508.316817204301,391.552,2349.312
2008,1503.26,72.51,1096.08,300.65,390.31,"IP",1803.91,20.731761136395,0.740420040585535,2030.28,527.146725649588,406.053298830542,2436.33329883054
2009,1598.6,75.21,1170.51,319.72,415.07,"IP",1918.32,21.2551522403936,0.759112580014056,2105.88,546.783192543476,421.176,2527.056
2010,1700,78,1250,340,441.4,"IP",2040,21.7948717948718,0.778388278388278,2184,567.069176470588,436.8,2620.8
2011,1821.38,80.26,1344.57,364.28,485.66,"IP",2185.66,22.693496137553,0.810482004912605,2247.28,599.223668207623,449.460935334746,2696.74093533475
2012,1951.43,82.6,1446.29,390.29,520.34,"IP",2341.72,23.6250605326877,0.843752161881702,2312.8,616.697679137863,462.564740728594,2775.36474072859
2013,2090.77,84.99,1555.71,418.15,557.49,"IP",2508.92,24.6001882574421,0.878578152051502,2379.72,634.536607469975,475.939447189313,2855.65944718931
2014,2240.06,87.46,1673.4,448.01,597.3,"IP",2688.07,25.6123942373657,0.914728365620202,2448.88,652.980734444613,489.773813558565,2938.65381355857
2015,2400,90,1800,480,639.94,"IP",2880,26.6666666666667,0.952380952380952,2520,671.937,504,3024
2016,2592.3,94.87,1944.22,518.46,710.76,"IP",3110.76,27.3247601981659,0.97588429279164,2656.36,728.324049531304,531.272,3187.632
2017,2800,100,2100,560,767.7,"IP",3360,28,1,2800,767.7,560,3360
2018,2987.2,105.67,2254.95,597.44,784.64,"IP",3584.64,28.2691397747705,1.00961213481323,2958.76,777.169739689341,591.752,3550.512
2019,3186.93,111.67,2421.34,637.39,837.11,"IP",3824.32,28.5388197367243,1.01924356202587,3126.76,821.305163150744,625.355924479044,3752.11592447904
2020,3400,118,2600,680,893.07,"IP",4080,28.8135593220339,1.02905569007264,3304,867.853905882353,660.8,3964.8
2021,3676.85,124.92,2815.05,735.37,1012.22,"IP",4412.22,29.4336375280179,1.05120134028635,3497.76,962.917341528754,699.552,4197.312
2022,3976.23,132.25,3047.9,795.25,1094.64,"IP",4771.48,30.066011342155,1.07378611936268,3703,1019.42088863069,740.603725136624,4443.60372513662
2023,4300,140,3300,860,1183.77,"IP",5160,30.7142857142857,1.0969387755102,3920,1079.15776744186,784,4704
