"year","asset","K_net_cc","K_gross_cc","K_net_chain","K_net_real","IG_cc","IG_real","D_cc","D_real","p_K"
1981,"Defense_IP",90,NA,NA,NA,NA,NA,NA,NA,NA
1982,"Defense_IP",98.19,NA,NA,NA,NA,NA,NA,NA,NA
1983,"Defense_IP",107.12,NA,NA,NA,NA,NA,NA,NA,NA
1984,"Defense_IP",116.87,NA,NA,NA,NA,NA,NA,NA,NA
1985,"Defense_IP",127.5,NA,NA,NA,NA,NA,NA,NA,NA
1986,"Defense_IP",133,NA,NA,NA,NA,NA,NA,NA,NA
1987,"Defense_IP",138.75,NA,NA,NA,NA,NA,NA,NA,NA
1988,"Defense_IP",144.73,NA,NA,NA,NA,NA,NA,NA,NA
1989,"Defense_IP",150.98,NA,NA,NA,NA,NA,NA,NA,NA
1990,"Defense_IP",157.5,NA,NA,NA,NA,NA,NA,NA,NA
1991,"Defense_IP",152.72,NA,NA,NA,NA,NA,NA,NA,NA
1992,"Defense_IP",148.08,NA,NA,NA,NA,NA,NA,NA,NA
1993,"Defense_IP",143.59,NA,NA,NA,NA,NA,NA,NA,NA
1994,"Defense_IP",139.23,NA,NA,NA,NA,NA,NA,NA,NA
1995,"Defense_IP",135,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Defense_IP",133.47,NA,NA,NA,NA,NA,NA,NA,NA
1997,"Defense_IP",131.95,NA,NA,NA,NA,NA,NA,NA,NA
1998,"Defense_IP",130.45,NA,NA,NA,NA,NA,NA,NA,NA
1999,"Defense_IP",128.97,NA,NA,NA,NA,NA,NA,NA,NA
2000,"Defense_IP",127.5,NA,NA,NA,NA,NA,NA,NA,NA
2001,"Defense_IP",131.71,NA,NA,NA,NA,NA,NA,NA,NA
2002,"Defense_IP",136.06,NA,NA,NA,NA,NA,NA,NA,NA
2003,"Defense_IP",140.56,NA,NA,NA,NA,NA,NA,NA,NA
2004,"Defense_IP",145.2,NA,NA,NA,NA,NA,NA,NA,NA
2005,"Defense_IP",150,NA,NA,NA,NA,NA,NA,NA,NA
2006,"Defense_IP",158.08,NA,NA,NA,NA,NA,NA,NA,NA
2007,"Defense_IP",166.6,NA,NA,NA,NA,NA,NA,NA,NA
2008,"Defense_IP",175.57,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Defense_IP",185.03,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Defense_IP",195,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Defense_IP",197.91,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Defense_IP",200.87,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Defense_IP",203.87,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Defense_IP",206.91,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Defense_IP",210,NA,NA,NA,NA,NA,NA,NA,NA
2016,"Defense_IP",217.37,NA,NA,NA,NA,NA,NA,NA,NA
2017,"Defense_IP",225,NA,NA,NA,NA,NA,NA,NA,NA
2018,"Defense_IP",234.59,NA,NA,NA,NA,NA,NA,NA,NA
2019,"Defense_IP",244.58,NA,NA,NA,NA,NA,NA,NA,NA
2020,"Defense_IP",255,NA,NA,NA,NA,NA,NA,NA,NA
2021,"Defense_IP",269.2,NA,NA,NA,NA,NA,NA,NA,NA
2022,"Defense_IP",284.18,NA,NA,NA,NA,NA,NA,NA,NA
2023,"Defense_IP",300,NA,NA,NA,NA,NA,NA,NA,NA
1925,"Defense_ME",3,NA,NA,NA,NA,NA,NA,NA,NA
1926,"Defense_ME",3.22,NA,NA,NA,NA,NA,NA,NA,NA
1927,"Defense_ME",3.46,NA,NA,NA,NA,NA,NA,NA,NA
1928,"Defense_ME",3.72,NA,NA,NA,NA,NA,NA,NA,NA
1929,"Defense_ME",4,NA,NA,NA,NA,NA,NA,NA,NA
1930,"Defense_ME",4.24,NA,NA,NA,NA,NA,NA,NA,NA
1931,"Defense_ME",4.48,NA,NA,NA,NA,NA,NA,NA,NA
1932,"Defense_ME",4.75,NA,NA,NA,NA,NA,NA,NA,NA
1933,"Defense_ME",5.03,NA,NA,NA,NA,NA,NA,NA,NA
1934,"Defense_ME",5.32,NA,NA,NA,NA,NA,NA,NA,NA
1935,"Defense_ME",5.64,NA,NA,NA,NA,NA,NA,NA,NA
1936,"Defense_ME",5.97,NA,NA,NA,NA,NA,NA,NA,NA
1937,"Defense_ME",6.32,NA,NA,NA,NA,NA,NA,NA,NA
1938,"Defense_ME",6.69,NA,NA,NA,NA,NA,NA,NA,NA
1939,"Defense_ME",7.08,NA,NA,NA,NA,NA,NA,NA,NA
1940,"Defense_ME",7.5,NA,NA,NA,NA,NA,NA,NA,NA
1941,"Defense_ME",11.37,NA,NA,NA,NA,NA,NA,NA,NA
1942,"Defense_ME",17.23,NA,NA,NA,NA,NA,NA,NA,NA
1943,"Defense_ME",26.12,NA,NA,NA,NA,NA,NA,NA,NA
1944,"Defense_ME",39.59,NA,NA,NA,NA,NA,NA,NA,NA
1945,"Defense_ME",60,NA,NA,NA,NA,NA,NA,NA,NA
1946,"Defense_ME",55.33,NA,NA,NA,NA,NA,NA,NA,NA
1947,"Defense_ME",51.02,NA,NA,NA,NA,NA,NA,NA,NA
1948,"Defense_ME",47.04,NA,NA,NA,NA,NA,NA,NA,NA
1949,"Defense_ME",43.38,NA,NA,NA,NA,NA,NA,NA,NA
1950,"Defense_ME",40,NA,NA,NA,NA,NA,NA,NA,NA
1951,"Defense_ME",45.36,NA,NA,NA,NA,NA,NA,NA,NA
1952,"Defense_ME",51.44,NA,NA,NA,NA,NA,NA,NA,NA
1953,"Defense_ME",58.33,NA,NA,NA,NA,NA,NA,NA,NA
1954,"Defense_ME",66.14,NA,NA,NA,NA,NA,NA,NA,NA
1955,"Defense_ME",75,NA,NA,NA,NA,NA,NA,NA,NA
1956,"Defense_ME",81.69,NA,NA,NA,NA,NA,NA,NA,NA
1957,"Defense_ME",88.98,NA,NA,NA,NA,NA,NA,NA,NA
1958,"Defense_ME",96.93,NA,NA,NA,NA,NA,NA,NA,NA
1959,"Defense_ME",105.58,NA,NA,NA,NA,NA,NA,NA,NA
1960,"Defense_ME",115,NA,NA,NA,NA,NA,NA,NA,NA
1961,"Defense_ME",118.75,NA,NA,NA,NA,NA,NA,NA,NA
1962,"Defense_ME",122.62,NA,NA,NA,NA,NA,NA,NA,NA
1963,"Defense_ME",126.61,NA,NA,NA,NA,NA,NA,NA,NA
1964,"Defense_ME",130.74,NA,NA,NA,NA,NA,NA,NA,NA
1965,"Defense_ME",135,NA,NA,NA,NA,NA,NA,NA,NA
1966,"Defense_ME",138.78,NA,NA,NA,NA,NA,NA,NA,NA
1967,"Defense_ME",142.67,NA,NA,NA,NA,NA,NA,NA,NA
1968,"Defense_ME",146.67,NA,NA,NA,NA,NA,NA,NA,NA
1969,"Defense_ME",150.78,NA,NA,NA,NA,NA,NA,NA,NA
1970,"Defense_ME",155,NA,NA,NA,NA,NA,NA,NA,NA
1971,"Defense_ME",161.44,NA,NA,NA,NA,NA,NA,NA,NA
1972,"Defense_ME",168.15,NA,NA,NA,NA,NA,NA,NA,NA
1973,"Defense_ME",175.14,NA,NA,NA,NA,NA,NA,NA,NA
1974,"Defense_ME",182.42,NA,NA,NA,NA,NA,NA,NA,NA
1975,"Defense_ME",190,NA,NA,NA,NA,NA,NA,NA,NA
1976,"Defense_ME",204.58,NA,NA,NA,NA,NA,NA,NA,NA
1977,"Defense_ME",220.29,NA,NA,NA,NA,NA,NA,NA,NA
1978,"Defense_ME",237.19,NA,NA,NA,NA,NA,NA,NA,NA
1979,"Defense_ME",255.4,NA,NA,NA,NA,NA,NA,NA,NA
1980,"Defense_ME",275,NA,NA,NA,NA,NA,NA,NA,NA
1981,"Defense_ME",300.02,NA,NA,NA,NA,NA,NA,NA,NA
1982,"Defense_ME",327.31,NA,NA,NA,NA,NA,NA,NA,NA
1983,"Defense_ME",357.08,NA,NA,NA,NA,NA,NA,NA,NA
1984,"Defense_ME",389.56,NA,NA,NA,NA,NA,NA,NA,NA
1985,"Defense_ME",425,NA,NA,NA,NA,NA,NA,NA,NA
1986,"Defense_ME",443.35,NA,NA,NA,NA,NA,NA,NA,NA
1987,"Defense_ME",462.48,NA,NA,NA,NA,NA,NA,NA,NA
1988,"Defense_ME",482.45,NA,NA,NA,NA,NA,NA,NA,NA
1989,"Defense_ME",503.27,NA,NA,NA,NA,NA,NA,NA,NA
1990,"Defense_ME",525,NA,NA,NA,NA,NA,NA,NA,NA
1991,"Defense_ME",509.06,NA,NA,NA,NA,NA,NA,NA,NA
1992,"Defense_ME",493.61,NA,NA,NA,NA,NA,NA,NA,NA
1993,"Defense_ME",478.62,NA,NA,NA,NA,NA,NA,NA,NA
1994,"Defense_ME",464.09,NA,NA,NA,NA,NA,NA,NA,NA
1995,"Defense_ME",450,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Defense_ME",444.89,NA,NA,NA,NA,NA,NA,NA,NA
1997,"Defense_ME",439.83,NA,NA,NA,NA,NA,NA,NA,NA
1998,"Defense_ME",434.83,NA,NA,NA,NA,NA,NA,NA,NA
1999,"Defense_ME",429.89,NA,NA,NA,NA,NA,NA,NA,NA
2000,"Defense_ME",425,NA,NA,NA,NA,NA,NA,NA,NA
2001,"Defense_ME",439.04,NA,NA,NA,NA,NA,NA,NA,NA
2002,"Defense_ME",453.55,NA,NA,NA,NA,NA,NA,NA,NA
2003,"Defense_ME",468.53,NA,NA,NA,NA,NA,NA,NA,NA
2004,"Defense_ME",484.01,NA,NA,NA,NA,NA,NA,NA,NA
2005,"Defense_ME",500,NA,NA,NA,NA,NA,NA,NA,NA
2006,"Defense_ME",526.94,NA,NA,NA,NA,NA,NA,NA,NA
2007,"Defense_ME",555.33,NA,NA,NA,NA,NA,NA,NA,NA
2008,"Defense_ME",585.24,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Defense_ME",616.77,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Defense_ME",650,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Defense_ME",659.71,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Defense_ME",669.56,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Defense_ME",679.55,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Defense_ME",689.7,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Defense_ME",700,NA,NA,NA,NA,NA,NA,NA,NA
2016,"Defense_ME",724.57,NA,NA,NA,NA,NA,NA,NA,NA
2017,"Defense_ME",750,NA,NA,NA,NA,NA,NA,NA,NA
2018,"Defense_ME",781.95,NA,NA,NA,NA,NA,NA,NA,NA
2019,"Defense_ME",815.27,NA,NA,NA,NA,NA,NA,NA,NA
2020,"Defense_ME",850,NA,NA,NA,NA,NA,NA,NA,NA
2021,"Defense_ME",897.32,NA,NA,NA,NA,NA,NA,NA,NA
2022,"Defense_ME",947.27,NA,NA,NA,NA,NA,NA,NA,NA
2023,"Defense_ME",1000,NA,NA,NA,NA,NA,NA,NA,NA
1925,"Defense_NRC",2.1,NA,NA,NA,NA,NA,NA,NA,NA
1926,"Defense_NRC",2.26,NA,NA,NA,NA,NA,NA,NA,NA
1927,"Defense_NRC",2.42,NA,NA,NA,NA,NA,NA,NA,NA
1928,"Defense_NRC",2.61,NA,NA,NA,NA,NA,NA,NA,NA
1929,"Defense_NRC",2.8,NA,NA,NA,NA,NA,NA,NA,NA
1930,"Defense_NRC",2.96,NA,NA,NA,NA,NA,NA,NA,NA
1931,"Defense_NRC",3.14,NA,NA,NA,NA,NA,NA,NA,NA
1932,"Defense_NRC",3.32,NA,NA,NA,NA,NA,NA,NA,NA
1933,"Defense_NRC",3.52,NA,NA,NA,NA,NA,NA,NA,NA
1934,"Defense_NRC",3.73,NA,NA,NA,NA,NA,NA,NA,NA
1935,"Defense_NRC",3.95,NA,NA,NA,NA,NA,NA,NA,NA
1936,"Defense_NRC",4.18,NA,NA,NA,NA,NA,NA,NA,NA
1937,"Defense_NRC",4.42,NA,NA,NA,NA,NA,NA,NA,NA
1938,"Defense_NRC",4.68,NA,NA,NA,NA,NA,NA,NA,NA
1939,"Defense_NRC",4.96,NA,NA,NA,NA,NA,NA,NA,NA
1940,"Defense_NRC",5.25,NA,NA,NA,NA,NA,NA,NA,NA
1941,"Defense_NRC",7.96,NA,NA,NA,NA,NA,NA,NA,NA
1942,"Defense_NRC",12.06,NA,NA,NA,NA,NA,NA,NA,NA
1943,"Defense_NRC",18.28,NA,NA,NA,NA,NA,NA,NA,NA
1944,"Defense_NRC",27.71,NA,NA,NA,NA,NA,NA,NA,NA
1945,"Defense_NRC",42,NA,NA,NA,NA,NA,NA,NA,NA
1946,"Defense_NRC",38.73,NA,NA,NA,NA,NA,NA,NA,NA
1947,"Defense_NRC",35.71,NA,NA,NA,NA,NA,NA,NA,NA
1948,"Defense_NRC",32.93,NA,NA,NA,NA,NA,NA,NA,NA
1949,"Defense_NRC",30.37,NA,NA,NA,NA,NA,NA,NA,NA
1950,"Defense_NRC",28,NA,NA,NA,NA,NA,NA,NA,NA
1951,"Defense_NRC",31.75,NA,NA,NA,NA,NA,NA,NA,NA
1952,"Defense_NRC",36,NA,NA,NA,NA,NA,NA,NA,NA
1953,"Defense_NRC",40.83,NA,NA,NA,NA,NA,NA,NA,NA
1954,"Defense_NRC",46.3,NA,NA,NA,NA,NA,NA,NA,NA
1955,"Defense_NRC",52.5,NA,NA,NA,NA,NA,NA,NA,NA
1956,"Defense_NRC",57.19,NA,NA,NA,NA,NA,NA,NA,NA
1957,"Defense_NRC",62.29,NA,NA,NA,NA,NA,NA,NA,NA
1958,"Defense_NRC",67.85,NA,NA,NA,NA,NA,NA,NA,NA
1959,"Defense_NRC",73.9,NA,NA,NA,NA,NA,NA,NA,NA
1960,"Defense_NRC",80.5,NA,NA,NA,NA,NA,NA,NA,NA
1961,"Defense_NRC",83.12,NA,NA,NA,NA,NA,NA,NA,NA
1962,"Defense_NRC",85.83,NA,NA,NA,NA,NA,NA,NA,NA
1963,"Defense_NRC",88.63,NA,NA,NA,NA,NA,NA,NA,NA
1964,"Defense_NRC",91.52,NA,NA,NA,NA,NA,NA,NA,NA
1965,"Defense_NRC",94.5,NA,NA,NA,NA,NA,NA,NA,NA
1966,"Defense_NRC",97.15,NA,NA,NA,NA,NA,NA,NA,NA
1967,"Defense_NRC",99.87,NA,NA,NA,NA,NA,NA,NA,NA
1968,"Defense_NRC",102.67,NA,NA,NA,NA,NA,NA,NA,NA
1969,"Defense_NRC",105.54,NA,NA,NA,NA,NA,NA,NA,NA
1970,"Defense_NRC",108.5,NA,NA,NA,NA,NA,NA,NA,NA
1971,"Defense_NRC",113.01,NA,NA,NA,NA,NA,NA,NA,NA
1972,"Defense_NRC",117.71,NA,NA,NA,NA,NA,NA,NA,NA
1973,"Defense_NRC",122.6,NA,NA,NA,NA,NA,NA,NA,NA
1974,"Defense_NRC",127.69,NA,NA,NA,NA,NA,NA,NA,NA
1975,"Defense_NRC",133,NA,NA,NA,NA,NA,NA,NA,NA
1976,"Defense_NRC",143.21,NA,NA,NA,NA,NA,NA,NA,NA
1977,"Defense_NRC",154.2,NA,NA,NA,NA,NA,NA,NA,NA
1978,"Defense_NRC",166.03,NA,NA,NA,NA,NA,NA,NA,NA
1979,"Defense_NRC",178.78,NA,NA,NA,NA,NA,NA,NA,NA
1980,"Defense_NRC",192.5,NA,NA,NA,NA,NA,NA,NA,NA
1981,"Defense_NRC",210.01,NA,NA,NA,NA,NA,NA,NA,NA
1982,"Defense_NRC",229.11,NA,NA,NA,NA,NA,NA,NA,NA
1983,"Defense_NRC",249.96,NA,NA,NA,NA,NA,NA,NA,NA
1984,"Defense_NRC",272.69,NA,NA,NA,NA,NA,NA,NA,NA
1985,"Defense_NRC",297.5,NA,NA,NA,NA,NA,NA,NA,NA
1986,"Defense_NRC",310.34,NA,NA,NA,NA,NA,NA,NA,NA
1987,"Defense_NRC",323.74,NA,NA,NA,NA,NA,NA,NA,NA
1988,"Defense_NRC",337.71,NA,NA,NA,NA,NA,NA,NA,NA
1989,"Defense_NRC",352.29,NA,NA,NA,NA,NA,NA,NA,NA
1990,"Defense_NRC",367.5,NA,NA,NA,NA,NA,NA,NA,NA
1991,"Defense_NRC",356.34,NA,NA,NA,NA,NA,NA,NA,NA
1992,"Defense_NRC",345.52,NA,NA,NA,NA,NA,NA,NA,NA
1993,"Defense_NRC",335.03,NA,NA,NA,NA,NA,NA,NA,NA
1994,"Defense_NRC",324.86,NA,NA,NA,NA,NA,NA,NA,NA
1995,"Defense_NRC",315,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Defense_NRC",311.42,NA,NA,NA,NA,NA,NA,NA,NA
1997,"Defense_NRC",307.88,NA,NA,NA,NA,NA,NA,NA,NA
1998,"Defense_NRC",304.38,NA,NA,NA,NA,NA,NA,NA,NA
1999,"Defense_NRC",300.92,NA,NA,NA,NA,NA,NA,NA,NA
2000,"Defense_NRC",297.5,NA,NA,NA,NA,NA,NA,NA,NA
2001,"Defense_NRC",307.33,NA,NA,NA,NA,NA,NA,NA,NA
2002,"Defense_NRC",317.48,NA,NA,NA,NA,NA,NA,NA,NA
2003,"Defense_NRC",327.97,NA,NA,NA,NA,NA,NA,NA,NA
2004,"Defense_NRC",338.81,NA,NA,NA,NA,NA,NA,NA,NA
2005,"Defense_NRC",350,NA,NA,NA,NA,NA,NA,NA,NA
2006,"Defense_NRC",368.86,NA,NA,NA,NA,NA,NA,NA,NA
2007,"Defense_NRC",388.73,NA,NA,NA,NA,NA,NA,NA,NA
2008,"Defense_NRC",409.67,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Defense_NRC",431.74,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Defense_NRC",455,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Defense_NRC",461.79,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Defense_NRC",468.69,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Defense_NRC",475.69,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Defense_NRC",482.79,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Defense_NRC",490,NA,NA,NA,NA,NA,NA,NA,NA
2016,"Defense_NRC",507.2,NA,NA,NA,NA,NA,NA,NA,NA
2017,"Defense_NRC",525,NA,NA,NA,NA,NA,NA,NA,NA
2018,"Defense_NRC",547.37,NA,NA,NA,NA,NA,NA,NA,NA
2019,"Defense_NRC",570.69,NA,NA,NA,NA,NA,NA,NA,NA
2020,"Defense_NRC",595,NA,NA,NA,NA,NA,NA,NA,NA
2021,"Defense_NRC",628.12,NA,NA,NA,NA,NA,NA,NA,NA
2022,"Defense_NRC",663.09,NA,NA,NA,NA,NA,NA,NA,NA
2023,"Defense_NRC",700,NA,NA,NA,NA,NA,NA,NA,NA
1925,"Defense_Total",6,6.48,1,15,0.72,1.8,0.48,1.2,0.4
1926,"Defense_Total",6.45,6.97,1,15,0.77,1.7906976744186,0.52,1.2093023255814,0.43
1927,"Defense_Total",6.93,7.48,1,15,0.83,1.7965367965368,0.55,1.19047619047619,0.462
1928,"Defense_Total",7.44,8.04,1,15,0.89,1.79435483870968,0.6,1.20967741935484,0.496
1929,"Defense_Total",8,8.64,1,15,0.77,1.44375,0.64,1.2,0.533333333333333
1930,"Defense_Total",8.47,9.15,1.18,17.7,1.15,2.40318772136954,0.68,1.42101534828808,0.478531073446328
1931,"Defense_Total",8.97,9.69,1.4,21,1.22,2.8561872909699,0.72,1.68561872909699,0.427142857142857
1932,"Defense_Total",9.5,10.26,1.66,24.9,1.29,3.38115789473684,0.76,1.992,0.381526104417671
1933,"Defense_Total",10.05,10.85,1.97,29.55,1.36,3.99880597014925,0.8,2.35223880597015,0.34010152284264
1934,"Defense_Total",10.65,11.5,2.33,34.95,1.44,4.7256338028169,0.85,2.78943661971831,0.304721030042918
1935,"Defense_Total",11.27,12.17,2.76,41.4,1.53,5.62040816326531,0.9,3.30612244897959,0.272222222222222
1936,"Defense_Total",11.93,12.88,3.27,49.05,1.62,6.66060352053646,0.95,3.90590947191953,0.24322120285423
1937,"Defense_Total",12.64,13.65,3.87,58.05,1.71,7.8532832278481,1.01,4.63848892405063,0.217743324720069
1938,"Defense_Total",13.38,14.45,4.59,68.85,1.81,9.31378923766816,1.07,5.50594170403587,0.194335511982571
1939,"Defense_Total",14.17,15.3,5.43,81.45,1.92,11.0362738179252,1.13,6.49530698659139,0.173971761817066
1940,"Defense_Total",15,16.2,6.44,96.6,2.03,13.0732,1.2,7.728,0.15527950310559
1941,"Defense_Total",22.74,24.56,7.62,114.3,9.55,48.0019788918206,1.82,9.14802110817942,0.198950131233596
1942,"Defense_Total",34.46,37.22,9.03,135.45,14.48,56.9157283807313,2.76,10.8485780615206,0.254411221853082
1943,"Defense_Total",52.23,56.41,10.69,160.35,21.95,67.3881390005744,4.18,12.8329121194716,0.325724976613658
1944,"Defense_Total",79.17,85.5,12.66,189.9,33.27,79.8026146267526,6.33,15.1833649109511,0.416903633491311
1945,"Defense_Total",120,129.6,15,225,50.43,94.55625,9.6,18,0.533333333333333
1946,"Defense_Total",110.65,119.5,13.83,207.45,0.1,0.187483054676909,8.85,16.5922503389065,0.533381537719933
1947,"Defense_Total",102.03,110.19,12.75,191.25,0.1,0.187444869156131,8.16,15.2955013231403,0.533490196078431
1948,"Defense_Total",94.09,101.62,11.76,176.4,0.1,0.18748007227123,7.53,14.1172494420236,0.533390022675737
1949,"Defense_Total",86.76,93.7,10.84,162.6,0.1,0.187413554633472,6.94,13.0065006915629,0.533579335793358
1950,"Defense_Total",80,86.4,10,150,0.1,0.1875,6.4,12,0.533333333333333
1951,"Defense_Total",90.72,97.98,10.96,164.4,17.97,32.5646825396825,7.26,13.1563492063492,0.551824817518248
1952,"Defense_Total",102.87,111.1,12.01,180.15,20.38,35.6902595508895,8.23,14.4127004957714,0.571024146544546
1953,"Defense_Total",116.65,125.98,13.16,197.4,23.11,39.1077068152593,9.33,15.7886155165024,0.590932117527862
1954,"Defense_Total",132.28,142.86,14.43,216.45,26.21,42.8874697611128,10.58,17.3120728757182,0.611134211134211
1955,"Defense_Total",150,162,15.81,237.15,29.72,46.98732,12,18.972,0.632511068943707
1956,"Defense_Total",163.39,176.46,17.33,259.95,26.46,42.0972948160842,13.07,20.7940908256319,0.628543950759761
1957,"Defense_Total",177.97,192.21,18.99,284.85,28.82,46.1278698657077,14.24,22.791841321571,0.624784974548008
1958,"Defense_Total",193.85,209.36,20.81,312.15,31.39,50.5462393603302,15.51,24.9752205313387,0.62101553740189
1959,"Defense_Total",211.15,228.04,22.81,342.15,34.19,55.4018872839214,16.89,27.3687591759413,0.617126991085781
1960,"Defense_Total",230,248.4,25,375,37.25,60.7336956521739,18.4,30,0.613333333333333
1961,"Defense_Total",237.5,256.5,25.86,387.9,26.49,43.2651410526316,19,31.032,0.612271203918536
1962,"Defense_Total",245.23,264.85,26.74,401.1,27.36,44.7502181625413,19.62,32.0906169718224,0.61139366741461
1963,"Defense_Total",253.23,273.49,27.66,414.9,28.25,46.2856888994195,20.26,33.1946214903448,0.610339840925524
1964,"Defense_Total",261.48,282.4,28.6,429,29.17,47.858077099587,20.92,34.3226250573658,0.609510489510489
1965,"Defense_Total",270,291.6,29.58,443.7,30.12,49.4972,21.6,35.496,0.608519269776876
