"year","K_net_cc","K_gross_cc","K_net_real","K_gross_real","K_net_hist","IG_cc","IG_real","D_cc","D_real","K_net_chain","asset","p_K"
2006,32846.45,34527.35,32480.46,34300.0425999177,17178.66,3877.35,3989.83262757386,1680.9,1819.5825999177,302.51,"TOTAL_ALL",1.01126800544081
2007,35213.6,37011.92,32865.73,34719.14775,17781.76,4165.46,4051.44384682711,1798.32,1853.41775,308.16,"TOTAL_ALL",1.07143824281402
2008,33887.98,35658.97,33259.45,35147.5237104341,18410.5,1195.06,1369.92874330798,1770.99,1888.07371043415,313.95,"TOTAL_ALL",1.01889778694476
2009,32651.78,34399.01,33662.46,35586.2200822216,19066.12,1211.54,1404.98771595025,1747.23,1923.76008222161,319.91,"TOTAL_ALL",0.969976050472841
2010,31500,33226.9,34070,36030.18,19750,1229.66,1440.9530675305,1726.9,1960.18,326,"TOTAL_ALL",0.924567067801585
2011,32647.21,34449,34625.15,36621.7040363776,20461.47,2949,3231.6146855691,1801.79,1996.55403637756,332.14,"TOTAL_ALL",0.942875626531582
2012,33838.88,35719.17,35189.63,37223.3572155455,21200.92,3071.97,3289.75982150995,1880.29,2033.7272155455,338.42,"TOTAL_ALL",0.961615112179355
2013,35076.91,37039.51,35763.35,37834.8929515718,21969.6,3200.63,3348.89501983669,1962.6,2071.54295157181,344.81,"TOTAL_ALL",0.980806048650364
2014,36363.25,38412.18,36347.15,38457.3272262963,22768.83,3335.28,3409.25521759711,2048.93,2110.17722629631,351.34,"TOTAL_ALL",1.00044295082283
2015,37700,39839.5,36940,39089.565,23600,3476.25,3470.7379644626,2139.5,2149.565,358,"TOTAL_ALL",1.0205739036275
2016,39788.63,42049.42,39384.55,41650.4740415928,25006.48,4349.42,4341.88213537889,2260.79,2265.92404159276,378.35,"TOTAL_ALL",1.01025986078297
2017,42000,44389.5,42000,44389.5,26500,4600.87,4600.87,2389.5,2389.5,400,"TOTAL_ALL",1
2018,44327.47,46840.55,43107.11,45580.1142520472,27830.29,4840.55,4731.1226474662,2513.08,2473.00425204717,413.76,"TOTAL_ALL",1.02830994701338
2019,46791.36,49434.93,44247.16,46807.1040323778,29229.08,5107.45,4879.03712740804,2643.57,2559.94403237781,428.09,"TOTAL_ALL",1.05749973557625
2020,49400,52181.4,45423,48073.41,30700,5390.04,5032.45742081448,2781.4,2650.41,443,"TOTAL_ALL",1.08755476300553
2021,53284.19,56274.73,46801.42,49551.7838526704,32903.44,6874.73,6152.369121506,2990.54,2750.36385267045,459.62,"TOTAL_ALL",1.13851652364394
2022,57476.01,60691.68,48225.37,51079.9207525453,35266.25,7407.5,6359.11022971128,3215.67,2854.55075254534,476.95,"TOTAL_ALL",1.19182102698227
2023,62000,65458,49695,52658.025,37800,7981.99,6573.40927848404,3458,2963.025,495,"TOTAL_ALL",1.24761042358386
