"year","K_net_cc","K_net_chain","K_net_hist","D_cc","IG_cc","asset","K_gross_cc","p_K_raw","p_K","K_net_real","IG_real","D_real","K_gross_real"
1956,330.97,9.67,172.63,12.58,33.55,"NRC",343.55,34.2264736297828,0.253529434294688,1305.45,132.331774783213,49.6194851497115,1355.06948514971
1957,353.35,10.21,183.42,13.43,35.81,"NRC",366.78,34.6082272282076,0.256357238727464,1378.35,139.687883118721,52.3878321777275,1430.73783217773
1958,377.25,10.77,194.88,14.34,38.24,"NRC",391.59,35.0278551532033,0.259465593727432,1453.95,147.379848906561,55.2674433399602,1509.21744333996
1959,402.76,11.37,207.06,15.3,40.81,"NRC",418.06,35.4230430958663,0.262392911821232,1534.95,155.530115949945,58.3095019366372,1593.25950193664
1960,430,12,220,16.34,43.58,"NRC",446.34,35.8333333333333,0.265432098765432,1620,164.18511627907,61.56,1681.56
1961,453.33,12.63,232.36,17.23,40.56,"NRC",470.56,35.8931116389549,0.265874901029295,1705.05,152.552948183443,64.8049136390709,1769.85491363907
1962,477.92,13.29,245.41,18.16,42.75,"NRC",496.08,35.9608728367193,0.266376835827551,1794.15,160.48692772849,68.1740960830264,1862.32409608303
1963,503.85,13.99,259.2,19.15,45.08,"NRC",523,36.0150107219443,0.266777857199587,1888.65,168.979541530217,71.7825692170289,1960.43256921703
1964,531.18,14.72,273.76,20.18,47.51,"NRC",551.36,36.085597826087,0.267300724637681,1987.2,177.739884784819,75.4954930532023,2062.6954930532
1965,560,15.49,289.14,21.28,50.1,"NRC",581.28,36.1523563589413,0.267795232288454,2091.15,187.083241071429,79.4637,2170.6137
1966,599.9,16.3,305.38,22.8,62.7,"NRC",622.7,36.8036809815951,0.272619859122927,2200.5,229.990581763627,83.6329388231372,2284.13293882314
1967,642.63,17.16,322.53,24.42,67.16,"NRC",667.05,37.4493006993007,0.277402227402227,2316.6,242.103319172774,88.0310162924233,2404.63101629242
1968,688.42,18.06,340.65,26.16,71.94,"NRC",714.58,38.1184939091916,0.28235921414216,2438.1,254.781839574678,92.6479416635194,2530.74794166352
1969,737.46,19,359.79,28.02,77.06,"NRC",765.48,38.8136842105263,0.287508771929825,2565,268.026604832804,97.4578960214791,2662.45789602148
1970,790,20,380,30.02,82.56,"NRC",820.02,39.5,0.292592592592593,2700,282.167088607595,102.6,2802.6
1971,872.75,20.96,414.22,33.16,115.91,"NRC",905.91,41.6388358778626,0.308435821317501,2829.6,375.799411057004,107.510210254941,2937.11021025494
1972,964.17,21.97,451.52,36.64,128.06,"NRC",1000.81,43.8857532999545,0.325079654073737,2965.95,393.934220106413,112.710837300476,3078.66083730048
1973,1065.16,23.03,492.18,40.48,141.47,"NRC",1105.64,46.2509769865393,0.342599829529921,3109.05,412.930736696834,118.155341920463,3227.20534192046
1974,1176.74,24.14,536.5,44.72,156.29,"NRC",1221.46,48.7464788732394,0.361085028690662,3258.9,432.834339786189,123.848945391505,3382.74894539151
1975,1300,25.3,584.81,49.4,172.66,"NRC",1349.4,51.3833992094862,0.38061777192212,3415.5,453.630946153846,129.789,3545.289
1976,1469.59,26.52,637.47,55.84,225.43,"NRC",1525.43,55.4144042232277,0.410477068320206,3580.2,549.190240815466,136.03683204159,3716.23683204159
1977,1661.31,27.79,694.87,63.13,254.85,"NRC",1724.44,59.7808564231738,0.442821158690176,3751.65,575.514505119454,142.563196814562,3894.21319681456
1978,1878.04,29.13,757.44,71.37,288.1,"NRC",1949.41,64.4709921043598,0.477562904476739,3932.55,603.271312112628,149.446280963132,4081.99628096313
1979,2123.04,30.53,825.65,80.68,325.68,"NRC",2203.72,69.5394693743858,0.515107180551006,4121.55,632.25676576984,156.627597219082,4278.17759721908
1980,2400,32,900,91.2,368.16,"NRC",2491.2,75,0.555555555555556,4320,662.688,164.16,4484.16
1981,2588.11,33.46,996.81,98.35,286.46,"NRC",2686.46,77.3493723849372,0.572958313962498,4517.1,499.966564790523,171.652976496362,4688.75297649636
1982,2790.96,34.99,1104.03,106.06,308.91,"NRC",2897.02,79.7645041440412,0.590848178844749,4723.65,522.824663019176,179.504657537192,4903.15465753719
1983,3009.71,36.58,1222.79,114.37,333.12,"NRC",3124.08,82.2774740295243,0.609462770589069,4938.3,546.579735589143,187.657073605098,5125.9570736051
1984,3245.61,38.25,1354.32,123.33,359.23,"NRC",3368.94,84.8525490196078,0.628537400145243,5163.75,571.533213325076,196.217440635196,5359.9674406352
1985,3500,40,1500,133,387.39,"NRC",3633,87.5,0.648148148148148,5400,597.687428571429,205.2,5605.2
1986,3696.63,42.15,1633.87,140.47,337.1,"NRC",3837.1,87.7017793594306,0.649642810069856,5690.25,518.900532376786,216.226513743599,5906.4765137436
1987,3904.31,44.43,1779.7,148.36,356.04,"NRC",4052.67,87.8755345487283,0.650929885546136,5998.05,546.971352684597,227.920092922949,6225.97009292295
1988,4123.65,46.82,1938.53,156.7,376.04,"NRC",4280.35,88.0745407945322,0.652404005885424,6320.7,576.391310610745,240.188592630315,6560.88859263032
1989,4355.32,49.34,2111.55,165.5,397.17,"NRC",4520.82,88.2715849209566,0.653863592007086,6660.9,607.420270611574,253.110896558691,6914.01089655869
1990,4600,52,2300,174.8,419.48,"NRC",4774.8,88.4615384615385,0.655270655270655,7020,640.162956521739,266.76,7286.76
1991,4749.91,52.96,2425.53,180.5,330.41,"NRC",4930.41,89.6886329305136,0.66436024392973,7149.6,497.335599200827,271.689947809538,7421.28994780954
1992,4904.7,53.95,2557.91,186.38,341.17,"NRC",5091.08,90.9119555143651,0.673421892699001,7283.25,506.62148602361,276.765578934491,7560.01557893449
1993,5064.53,54.94,2697.52,192.45,352.29,"NRC",5256.98,92.1829268292683,0.682836495031617,7416.9,515.921457864797,281.839066014023,7698.73906601402
1994,5229.58,55.96,2844.74,198.72,363.76,"NRC",5428.3,93.452108649035,0.692237841844704,7554.6,525.484129891884,287.068963855606,7841.66896385561
1995,5400,57,3000,205.2,375.62,"NRC",5605.2,94.7368421052632,0.701754385964912,7695,535.2585,292.41,7987.41
1996,5654.79,58.52,3145.24,214.88,469.67,"NRC",5869.67,96.63004101162,0.715778081567555,7900.2,656.167060845761,300.204777896261,8200.40477789626
1997,5921.61,60.07,3297.51,225.02,491.84,"NRC",6146.63,98.5784917596138,0.730211050071213,8109.45,673.558692315097,308.157484028837,8417.60748402884
1998,6201.02,61.67,3457.15,235.64,515.05,"NRC",6436.66,100.551645856981,0.744827006348005,8325.45,691.502853159641,316.368764816111,8641.81876481611
1999,6493.61,63.31,3624.53,246.76,539.35,"NRC",6740.37,102.568472595167,0.759766463667901,8546.85,709.889190681301,324.784011666854,8871.63401166686
2000,6800,65,3800,258.4,564.79,"NRC",7058.4,104.615384615385,0.774928774928775,8775,728.828272058824,333.45,9108.45
2001,7223.78,66.34,4014.4,274.5,698.28,"NRC",7498.28,108.890262285197,0.806594535445907,8955.9,865.713774782732,340.319687199776,9296.21968719978
2002,7673.98,67.71,4240.9,291.61,741.8,"NRC",7965.59,113.335991729434,0.839525864662477,9140.85,883.593979916549,347.350822975822,9488.20082297582
2003,8152.23,69.11,4480.18,309.78,788.03,"NRC",8462.01,117.960208363479,0.873779321210952,9329.85,901.863869824576,354.528875289338,9684.37887528934
2004,8660.28,70.54,4732.96,329.09,837.15,"NRC",8989.37,122.771193648993,0.909416249251804,9522.9,920.535564092616,361.869496251853,9884.76949625185
2005,9200,72,5000,349.6,889.32,"NRC",9549.6,127.777777777778,0.946502057613169,9720,939.585913043478,369.36,10089.36
2006,10150.86,73.16,5269.37,385.73,1336.59,"NRC",10536.59,138.748769819574,1.02776866533017,9876.6,1300.47747619414,375.308192409313,10251.9081924093
2007,11200,74.34,5553.25,425.6,1474.74,"NRC",11625.6,150.659133709981,1.1159935830369,10035.9,1321.45921125,381.3642,10417.2642
2008,11065.05,75.54,5852.43,420.47,285.52,"NRC",11485.52,146.479348689436,1.08503221251434,10197.9,263.144261255033,387.518448899915,10585.4184488999
2009,10931.72,76.76,6167.72,415.41,282.08,"NRC",11347.13,142.414278269932,1.05492057977728,10362.6,267.394536998752,393.783198435379,10756.3831984354
2010,10800,78,6500,410.4,278.68,"NRC",11210.4,138.461538461538,1.02564102564103,10530,271.713,400.14,10930.14
2011,11120.42,79.35,6741.39,422.58,743,"NRC",11543,140.143919344676,1.03810310625686,10712.25,715.728520145822,407.069391713622,11119.3193917136
2012,11450.34,80.73,6991.75,435.11,765.03,"NRC",11885.45,141.835005574136,1.05062967091953,10898.55,728.163330215522,414.142120714319,11312.6921207143
2013,11790.05,82.13,7251.4,448.02,787.73,"NRC",12238.07,143.553512723731,1.06335935350912,11087.55,740.793784716774,421.325113209868,11508.8751132099
2014,12139.83,83.55,7520.7,461.31,811.1,"NRC",12601.14,145.300179533214,1.07629762617195,11279.25,753.601959417883,428.608210946941,11707.8582109469
2015,12500,85,7800,475,835.17,"NRC",12975,147.058823529412,1.08932461873638,11475,766.68606,436.05,11911.05
2016,12990.38,92.2,8142.48,493.63,984.01,"NRC",13484.01,140.893492407809,1.0436554993171,12447,942.849437044952,472.981745722604,12919.9817457226
2017,13500,100,8500,513,1022.62,"NRC",14013,135,1,13500,1022.62,513,14013
2018,14075.15,101.64,8912.95,534.86,1110.01,"NRC",14610.01,138.480421094057,1.02578089699302,13721.4,1082.11217741907,521.417391928328,14242.8173919283
2019,14674.8,103.31,9345.96,557.64,1157.29,"NRC",15232.44,142.046268512245,1.05219458157218,13946.85,1099.88211331671,529.978019053071,14476.8280190531
2020,15300,105,9800,581.4,1206.6,"NRC",15881.4,145.714285714286,1.07936507936508,14175,1117.87941176471,538.65,14713.65
2021,16588.45,107.28,10484.42,630.36,1918.81,"NRC",17218.81,154.627609992543,1.14538970364847,14482.8,1675.24641952684,550.345439628175,15033.1454396282
2022,17985.4,109.62,11216.64,683.45,2080.4,"NRC",18668.85,164.070425104908,1.21533648225858,14798.7,1711.7893113303,562.354549523502,15361.0545495235
2023,19500,112,12000,741,2255.6,"NRC",20241,174.107142857143,1.28968253968254,15120,1748.95753846154,574.56,15694.56
