"year","ME_K_net_cc","NRC_K_net_cc","RC_K_net_cc","IP_K_net_cc","NR_K_net_cc","TOTAL_PRODUCTIVE_K_net_cc","TOTAL_ALL_K_net_cc","ME_K_gross_cc","NRC_K_gross_cc","RC_K_gross_cc","IP_K_gross_cc","NR_K_gross_cc","TOTAL_PRODUCTIVE_K_gross_cc","TOTAL_ALL_K_gross_cc","ME_IG_cc","NRC_IG_cc","RC_IG_cc","IP_IG_cc","NR_IG_cc","TOTAL_PRODUCTIVE_IG_cc","TOTAL_ALL_IG_cc","ME_D_cc","NRC_D_cc","RC_D_cc","IP_D_cc","NR_D_cc","TOTAL_PRODUCTIVE_D_cc","TOTAL_ALL_D_cc"
1940,34,115,85,4,149,234,238,39.27,119.37,87.38,4.8,158.64,246.02,250.82,6.11,4.37,3.4,0.9,10.48,13.88,14.78,5.27,4.37,2.38,0.8,9.64,12.02,12.82
1941,35.47,117.85,87.81,4.29,153.32,241.13,245.42,40.97,122.33,90.27,5.15,163.3,253.57,258.72,6.97,7.33,5.27,1.15,14.3,19.57,20.72,5.5,4.48,2.46,0.86,9.98,12.44,13.3
1942,37,120.78,90.71,4.59,157.78,248.49,253.08,42.73,125.37,93.25,5.51,168.1,261.35,266.86,7.26,7.52,5.44,1.23,14.78,20.22,21.45,5.73,4.59,2.54,0.92,10.32,12.86,13.78
1943,38.6,123.78,93.71,4.92,162.38,256.09,261.01,44.58,128.48,96.33,5.9,173.06,269.39,275.29,7.58,7.7,5.62,1.31,15.28,20.9,22.21,5.98,4.7,2.62,0.98,10.68,13.3,14.28
1944,40.26,126.85,96.8,5.28,167.11,263.91,269.19,46.5,131.67,99.51,6.34,178.17,277.68,284.02,7.91,7.89,5.81,1.41,15.8,21.61,23.02,6.24,4.82,2.71,1.06,11.06,13.77,14.83
1945,42,130,100,5.66,172,272,277.66,48.51,134.94,102.8,6.79,183.45,286.25,293.04,8.25,8.09,6,1.51,16.34,22.34,23.85,6.51,4.94,2.8,1.13,11.45,14.25,15.38
1946,46.78,143.09,114.87,6.06,189.87,304.74,310.8,54.03,148.53,118.09,7.27,202.56,320.65,327.92,12.03,18.53,18.09,1.62,30.56,48.65,50.27,7.25,5.44,3.22,1.21,12.69,15.91,17.12
1947,52.11,157.49,131.95,6.5,209.6,341.55,348.05,60.19,163.47,135.64,7.8,223.66,359.3,367.1,13.4,20.38,20.77,1.74,33.78,54.55,56.29,8.08,5.98,3.69,1.3,14.06,17.75,19.05
1948,58.04,173.34,151.57,6.96,231.38,382.95,389.91,67.04,179.93,155.81,8.35,246.97,402.78,411.13,14.93,22.44,23.86,1.86,37.37,61.23,63.09,9,6.59,4.24,1.39,15.59,19.83,21.22
1949,64.64,190.79,174.11,7.46,255.43,429.54,437,74.66,198.04,178.99,8.95,272.7,451.69,460.64,16.63,24.7,27.42,1.99,41.33,68.75,70.74,10.02,7.25,4.88,1.49,17.27,22.15,23.64
1950,72,210,200,8,282,482,490,83.16,217.98,205.6,9.6,301.14,506.74,516.34,18.52,27.19,31.49,2.14,45.71,77.2,79.34,11.16,7.98,5.6,1.6,19.14,24.74,26.34
1951,76.89,227.01,223.69,8.77,303.9,527.59,536.36,88.81,235.64,229.95,10.52,324.45,554.4,564.92,16.81,25.64,29.95,2.52,42.45,72.4,74.92,11.92,8.63,6.26,1.75,20.55,26.81,28.56
1952,82.11,245.4,250.18,9.61,327.51,577.69,587.3,94.84,254.73,257.18,11.53,349.57,606.75,618.28,17.95,27.72,33.49,2.76,45.67,79.16,81.92,12.73,9.33,7,1.92,22.06,29.06,30.98
1953,87.69,265.28,279.8,10.53,352.97,632.77,643.3,101.28,275.36,287.63,12.64,376.64,664.27,676.91,19.17,29.96,37.46,3.03,49.13,86.59,89.62,13.59,10.08,7.83,2.11,23.67,31.5,33.61
1954,93.64,286.77,312.94,11.54,380.41,693.35,704.89,108.15,297.67,321.7,13.85,405.82,727.52,741.37,20.46,32.39,41.9,3.32,52.85,94.75,98.07,14.51,10.9,8.76,2.31,25.41,34.17,36.48
1955,100,310,350,12.65,410,760,772.65,115.5,321.78,359.8,15.18,437.28,797.08,812.26,21.86,35.01,46.86,3.64,56.87,103.73,107.37,15.5,11.78,9.8,2.53,27.28,37.08,39.61
1956,105.39,330.97,375.88,13.86,436.36,812.24,826.1,121.73,343.55,386.4,16.63,465.28,851.68,868.31,21.73,33.55,36.4,3.98,55.28,91.68,95.66,16.34,12.58,10.52,2.77,28.92,39.44,42.21
1957,111.07,353.35,403.67,15.19,464.42,868.09,883.28,128.29,366.78,414.97,18.23,495.07,910.04,928.27,22.9,35.81,39.09,4.37,58.71,97.8,102.17,17.22,13.43,11.3,3.04,30.65,41.95,44.99
1958,117.05,377.25,433.52,16.65,494.3,927.82,944.47,135.19,391.59,445.66,19.98,526.78,972.44,992.42,24.12,38.24,41.99,4.79,62.36,104.35,109.14,18.14,14.34,12.14,3.33,32.48,44.62,47.95
1959,123.35,402.76,465.57,18.25,526.11,991.68,1009.93,142.47,418.06,478.61,21.9,560.53,1039.14,1061.04,25.43,40.81,45.09,5.25,66.24,111.33,116.58,19.12,15.3,13.04,3.65,34.42,47.46,51.11
1960,130,430,500,20,560,1060,1080,150.15,446.34,514,24,596.49,1110.49,1134.49,26.8,43.58,48.43,5.75,70.38,118.81,124.56,20.15,16.34,14,4,36.49,50.49,54.49
1961,138.74,453.33,531.71,21.92,592.07,1123.78,1145.7,160.25,470.56,546.6,26.3,630.81,1177.41,1203.71,30.25,40.56,46.6,6.3,70.81,117.41,123.71,21.51,17.23,14.89,4.38,38.74,53.63,58.01
1962,148.07,477.92,565.44,24.02,625.99,1191.43,1215.45,171.02,496.08,581.27,28.82,667.1,1248.37,1277.19,32.28,42.75,49.56,6.9,75.03,124.59,131.49,22.95,18.16,15.83,4.8,41.11,56.94,61.74
1963,158.03,503.85,601.3,26.33,661.88,1263.18,1289.51,182.52,523,618.14,31.6,705.52,1323.66,1355.26,34.45,45.08,52.7,7.58,79.53,132.23,139.81,24.49,19.15,16.84,5.27,43.64,60.48,65.75
1964,168.66,531.18,639.44,28.85,699.84,1339.28,1368.13,194.8,551.36,657.34,34.62,746.16,1403.5,1438.12,36.77,47.51,56.04,8.3,84.28,140.32,148.62,26.14,20.18,17.9,5.77,46.32,64.22,69.99
1965,180,560,680,31.62,740,1420,1451.62,207.9,581.28,699.04,37.94,789.18,1488.22,1526.16,39.24,50.1,59.6,9.09,89.34,148.94,158.03,27.9,21.28,19.04,6.32,49.18,68.22,74.54
1966,193.74,599.9,728.55,34.66,793.64,1522.19,1556.85,223.77,622.7,748.95,41.59,846.47,1595.42,1637.01,43.77,62.7,68.95,9.96,106.47,175.42,185.38,30.03,22.8,20.4,6.93,52.83,73.23,80.16
1967,208.52,642.63,780.57,37.98,851.15,1631.72,1669.7,240.84,667.05,802.43,45.58,907.89,1710.32,1755.9,47.11,67.16,73.88,10.93,114.27,188.15,199.08,32.32,24.42,21.86,7.6,56.74,78.6,86.2
1968,224.44,688.42,836.31,41.63,912.86,1749.17,1790.8,259.23,714.58,859.73,49.96,973.81,1833.54,1883.5,50.7,71.94,79.15,11.97,122.64,201.79,213.76,34.79,26.16,23.42,8.33,60.95,84.37,92.7
1969,241.56,737.46,896.02,45.62,979.02,1875.04,1920.66,279,765.48,921.11,54.74,1044.48,1965.59,2020.33,54.57,77.06,84.8,13.11,131.63,216.43,229.54,37.44,28.02,25.09,9.12,65.46,90.55,99.67
1970,260,790,960,50,1050,2010,2060,300.3,820.02,986.88,60,1120.32,2107.2,2167.2,58.74,82.56,90.86,14.38,141.3,232.16,246.54,40.3,30.02,26.88,10,70.32,97.2,107.2
1971,283.39,872.75,1082.49,55.01,1156.14,2238.63,2293.64,327.32,905.91,1112.8,66.01,1233.23,2346.03,2412.04,67.32,115.91,152.8,16.01,183.23,336.03,352.04,43.93,33.16,30.31,11,77.09,107.4,118.4
1972,308.89,964.17,1220.61,60.53,1273.06,2493.67,2554.2,356.77,1000.81,1254.79,72.64,1357.58,2612.37,2685.01,73.38,128.06,172.3,17.63,201.44,373.74,391.37,47.88,36.64,34.18,12.11,84.52,118.7,130.81
1973,336.69,1065.16,1376.36,66.6,1401.85,2778.21,2844.81,388.88,1105.64,1414.9,79.92,1494.52,2909.42,2989.34,79.98,141.47,194.28,19.39,221.45,415.73,435.12,52.19,40.48,38.54,13.32,92.67,131.21,144.53
1974,366.98,1176.74,1551.97,73.28,1543.72,3095.69,3168.97,423.86,1221.46,1595.43,87.94,1645.32,3240.75,3328.69,87.17,156.29,219.08,21.34,243.46,462.54,483.88,56.88,44.72,43.46,14.66,101.6,145.06,159.72
1975,400,1300,1750,80.62,1700,3450,3530.62,462,1349.4,1799,96.74,1811.4,3610.4,3707.14,95.02,172.66,247.03,23.47,267.68,514.71,538.18,62,49.4,49,16.12,111.4,160.4,176.52
1976,453.59,1469.59,1986.7,88.71,1923.18,3909.88,3998.59,523.9,1525.43,2042.33,106.45,2049.33,4091.66,4198.11,123.9,225.43,292.33,25.82,349.33,641.66,667.48,70.31,55.84,55.63,17.74,126.15,181.78,199.52
1977,514.35,1661.31,2255.43,97.6,2175.66,4431.09,4528.69,594.07,1724.44,2318.58,117.12,2318.51,4637.09,4754.21,140.49,254.85,331.87,28.41,395.34,727.21,755.62,79.72,63.13,63.15,19.52,142.85,206,225.52
1978,583.26,1878.04,2560.49,107.39,2461.3,5021.79,5129.18,673.67,1949.41,2632.18,128.87,2623.08,5255.26,5384.13,159.32,288.1,376.76,31.27,447.42,824.18,855.45,90.41,71.37,71.69,21.48,161.78,233.47,254.95
1979,661.4,2123.04,2906.82,118.15,2784.44,5691.26,5809.41,763.92,2203.72,2988.21,141.78,2967.64,5955.85,6097.63,180.66,325.68,427.72,34.4,506.34,934.06,968.46,102.52,80.68,81.39,23.63,183.2,264.59,288.22
1980,750,2400,3300,130,3150,6450,6580,866.25,2491.2,3392.4,156,3357.45,6749.85,6905.85,204.85,368.16,485.58,37.85,573.01,1058.59,1096.44,116.25,91.2,92.4,26,207.45,299.85,325.85
1981,809.71,2588.11,3571.5,145.71,3397.82,6969.32,7115.03,935.21,2686.46,3671.5,174.85,3621.67,7293.17,7468.02,185.21,286.46,371.5,44.85,471.67,843.17,888.02,125.5,98.35,100,29.14,223.85,323.85,352.99
1982,874.17,2790.96,3865.33,163.33,3665.13,7530.46,7693.79,1009.67,2897.02,3973.56,196,3906.69,7880.25,8076.25,199.96,308.91,402.06,50.28,508.87,910.93,961.21,135.5,106.06,108.23,32.67,241.56,349.79,382.46
1983,943.76,3009.71,4183.34,183.07,3953.47,8136.81,8319.88,1090.04,3124.08,4300.47,219.68,4214.12,8514.59,8734.27,215.87,333.12,435.14,56.35,548.99,984.13,1040.48,146.28,114.37,117.13,36.61,260.65,377.78,414.39
1984,1018.89,3245.61,4527.51,205.2,4264.5,8792.01,8997.21,1176.82,3368.94,4654.28,246.24,4545.76,9200.04,9446.28,233.06,359.23,470.94,63.17,592.29,1063.23,1126.4,157.93,123.33,126.77,41.04,281.26,408.03,449.07
1985,1100,3500,4900,230,4600,9500,9730,1270.5,3633,5037.2,276,4903.5,9940.7,10216.7,251.61,387.39,509.69,70.8,639,1148.69,1219.49,170.5,133,137.2,46,303.5,440.7,486.7
1986,1185.6,3696.63,5200.75,252.94,4882.23,10082.98,10335.92,1369.37,3837.1,5346.37,303.53,5206.47,10552.84,10856.37,269.37,337.1,446.37,73.53,606.47,1052.84,1126.37,183.77,140.47,145.62,50.59,324.24,469.86,520.45
1987,1277.86,3904.31,5519.95,278.17,5182.17,10702.12,10980.29,1475.93,4052.67,5674.51,333.8,5528.6,11203.11,11536.91,290.33,356.04,473.76,80.86,646.37,1120.13,1200.99,198.07,148.36,154.56,55.63,346.43,500.99,556.62
1988,1377.3,4123.65,5858.75,305.92,5500.95,11359.7,11665.62,1590.78,4280.35,6022.79,367.1,5871.13,11893.92,12261.02,312.92,376.04,502.84,88.93,688.96,1191.8,1280.73,213.48,156.7,164.04,61.18,370.18,534.22,595.4
1989,1484.48,4355.32,6218.34,336.44,5839.8,12058.14,12394.58,1714.57,4520.82,6392.45,403.73,6235.39,12627.84,13031.57,337.27,397.17,533.7,97.81,734.44,1268.14,1365.95,230.09,165.5,174.11,67.29,395.59,569.7,636.99
1990,1600,4600,6600,370,6200,12800,13170,1848,4774.8,6784.8,444,6622.8,13407.6,13851.6,363.52,419.48,566.46,107.56,783,1349.46,1457.02,248,174.8,184.8,74,422.8,607.6,681.6
1991,1689.43,4749.91,6824.24,404.81,6439.34,13263.58,13668.39,1951.29,4930.41,7015.32,485.77,6881.7,13897.02,14382.79,351.29,330.41,415.32,115.77,681.7,1097.02,1212.79,261.86,180.5,191.08,80.96,442.36,633.44,714.4
1992,1783.86,4904.7,7056.09,442.89,6688.56,13744.65,14187.54,2060.36,5091.08,7253.66,531.47,7151.44,14405.1,14936.57,370.93,341.17,429.42,126.66,712.1,1141.52,1268.18,276.5,186.38,197.57,88.58,462.88,660.45,749.03
1993,1883.56,5064.53,7295.82,484.55,6948.09,14243.91,14728.46,2175.51,5256.98,7500.1,581.46,7432.49,14932.59,15514.05,391.65,352.29,444.01,138.57,743.94,1187.95,1326.52,291.95,192.45,204.28,96.91,484.4,688.68,785.59
1994,1988.84,5229.58,7543.7,530.13,7218.42,14762.12,15292.25,2297.11,5428.3,7754.92,636.16,7725.41,15480.33,16116.49,413.55,363.76,459.1,151.61,777.31,1236.41,1388.02,308.27,198.72,211.22,106.03,506.99,718.21,824.24
1995,2100,5400,7800,580,7500,15300,15880,2425.5,5605.2,8018.4,696,8030.7,16049.1,16745.1,436.66,375.62,474.7,165.87,812.28,1286.98,1452.85,325.5,205.2,218.4,116,530.7,749.1,865.1
1996,2224.37,5654.79,8277.77,637.44,7879.16,16156.93,16794.37,2569.15,5869.67,8509.55,764.93,8438.82,16948.37,17713.3,469.15,469.67,709.55,184.93,938.82,1648.37,1833.3,344.78,214.88,231.78,127.49,559.66,791.44,918.93
1997,2356.11,5921.61,8784.81,700.57,8277.72,17062.53,17763.1,2721.31,6146.63,9030.78,840.68,8867.94,17898.72,18739.4,496.94,491.84,753.01,203.24,988.78,1741.79,1945.03,365.2,225.02,245.97,140.11,590.22,836.19,976.3
1998,2495.64,6201.02,9322.91,769.95,8696.66,18019.57,18789.52,2882.46,6436.66,9583.95,923.94,9319.12,18903.07,19827.01,526.36,515.05,799.14,223.37,1041.41,1840.55,2063.92,386.82,235.64,261.04,153.99,622.46,883.5,1037.49
1999,2643.45,6493.61,9893.96,846.2,9137.06,19031.02,19877.22,3053.18,6740.37,10170.99,1015.44,9793.55,19964.54,20979.98,557.53,539.35,848.09,245.49,1096.88,1944.97,2190.46,409.73,246.76,277.03,169.24,656.49,933.52,1102.76
2000,2800,6800,10500,930,9600,20100,21030,3234,7058.4,10794,1116,10292.4,21086.4,22202.4,590.55,564.79,900.04,269.8,1155.34,2055.38,2325.18,434,258.4,294,186,692.4,986.4,1172.4
2001,2875.79,7223.78,11562.22,986.66,10099.57,21661.79,22648.45,3321.54,7498.28,11885.96,1183.99,10819.82,22705.78,23889.77,521.54,698.28,1385.96,253.99,1219.82,2605.78,2859.77,445.75,274.5,323.74,197.33,720.25,1043.99,1241.32
2002,2953.62,7673.98,12731.9,1046.78,10627.6,23359.5,24406.28,3411.43,7965.59,13088.39,1256.14,11377.02,24465.41,25721.55,535.65,741.8,1526.17,269.47,1277.45,2803.62,3073.09,457.81,291.61,356.49,209.36,749.42,1105.91,1315.27
2003,3033.56,8152.23,14019.91,1110.55,11185.79,25205.7,26316.25,3503.76,8462.01,14412.47,1332.66,11965.77,26378.24,27710.9,550.14,788.03,1680.57,285.89,1338.17,3018.74,3304.63,470.2,309.78,392.56,222.11,779.98,1172.54,1394.65
2004,3115.67,8660.28,15438.21,1178.22,11775.95,27214.16,28392.38,3598.6,8989.37,15870.48,1413.86,12587.97,28458.45,29872.31,565.04,837.15,1850.58,303.3,1402.19,3252.77,3556.07,482.93,329.09,432.27,235.64,812.02,1244.29,1479.93
2005,3200,9200,17000,1250,12400,29400,30650,3696,9549.6,17476,1500,13245.6,30721.6,32221.6,580.33,889.32,2037.79,321.78,1469.65,3507.44,3829.22,496,349.6,476,250,845.6,1321.6,1571.6
2006,3394.11,10150.86,17972.2,1329.28,13544.97,31517.17,32846.45,3920.2,10536.59,18475.42,1595.14,14456.79,32932.21,34527.35,720.2,1336.59,1475.42,345.14,2056.79,3532.21,3877.35,526.09,385.73,503.22,265.86,911.82,1415.04,1680.9
2007,3600,11200,19000,1413.6,14800,33800,35213.6,4158,11625.6,19532,1696.32,15783.6,35315.6,37011.92,763.89,1474.74,1559.8,367.03,2238.63,3798.43,4165.46,558,425.6,532,282.72,983.6,1515.6,1798.32
2008,3566.35,11065.05,17753.32,1503.26,14631.4,32384.72,33887.98,4119.13,11485.52,18250.41,1803.91,15604.65,33855.06,35658.97,519.13,285.52,0.1,390.31,804.65,804.75,1195.06,552.78,420.47,497.09,300.65,973.25,1470.34,1770.99
2009,3533.02,10931.72,16588.44,1598.6,14464.74,31053.18,32651.78,4080.64,11347.13,17052.92,1918.32,15427.77,32480.69,34399.01,514.29,282.08,0.1,415.07,796.37,796.47,1211.54,547.62,415.41,464.48,319.72,963.03,1427.51,1747.23
2010,3500,10800,15500,1700,14300,29800,31500,4042.5,11210.4,15934,2040,15252.9,31186.9,33226.9,509.48,278.68,0.1,441.4,788.16,788.26,1229.66,542.5,410.4,434,340,952.9,1386.9,1726.9
2011,3647.1,11120.42,16058.31,1821.38,14767.52,30825.83,32647.21,4212.4,11543,16507.94,2185.66,15755.4,32263.34,34449,712.4,743,1007.94,485.66,1455.4,2463.34,2949,565.3,422.58,449.63,364.28,987.88,1437.51,1801.79
2012,3800.39,11450.34,16636.72,1951.43,15250.73,31887.45,33838.88,4389.45,11885.45,17102.55,2341.72,16274.9,33377.45,35719.17,742.35,765.03,1044.25,520.34,1507.38,2551.63,3071.97,589.06,435.11,465.83,390.29,1024.17,1490,1880.29
2013,3960.12,11790.05,17235.97,2090.77,15750.17,32986.14,35076.91,4573.94,12238.07,17718.58,2508.92,16812.01,34530.59,37039.51,773.55,787.73,1081.86,557.49,1561.28,2643.14,3200.63,613.82,448.02,482.61,418.15,1061.84,1544.45,1962.6
2014,4126.56,12139.83,17856.8,2240.06,16266.39,34123.19,36363.25,4766.18,12601.14,18356.79,2688.07,17367.32,35724.11,38412.18,806.06,811.1,1120.82,597.3,1617.16,2737.98,3335.28,639.62,461.31,499.99,448.01,1100.93,1600.92,2048.93
2015,4300,12500,18500,2400,16800,35300,37700,4966.5,12975,19018,2880,17941.5,36959.5,39839.5,839.94,835.17,1161.2,639.94,1675.11,2836.31,3476.25,666.5,475,518,480,1141.5,1659.5,2139.5
2016,4495.55,12990.38,19710.4,2592.3,17485.93,37196.33,39788.63,5192.36,13484.01,20262.29,3110.76,18676.37,38938.66,42049.42,892.36,984.01,1762.29,710.76,1876.37,3638.66,4349.42,696.81,493.63,551.89,518.46,1190.44,1742.33,2260.79
2017,4700,13500,21000,2800,18200,39200,42000,5428.5,14013,21588,3360,19441.5,41029.5,44389.5,932.95,1022.62,1877.6,767.7,1955.57,3833.17,4600.87,728.5,513,588,560,1241.5,1829.5,2389.5
2018,4861.08,14075.15,22404.04,2987.2,18936.23,41340.27,44327.47,5614.55,14610.01,23031.35,3584.64,20224.56,43255.91,46840.55,914.55,1110.01,2031.35,784.64,2024.56,4055.91,4840.55,753.47,534.86,627.31,597.44,1288.33,1915.64,2513.08
2019,5027.69,14674.8,23901.94,3186.93,19702.49,43604.43,46791.36,5806.98,15232.44,24571.19,3824.32,21039.42,45610.61,49434.93,945.89,1157.29,2167.16,837.11,2103.18,4270.34,5107.45,779.29,557.64,669.25,637.39,1336.93,2006.18,2643.57
2020,5200,15300,25500,3400,20500,46000,49400,6006,15881.4,26214,4080,21887.4,48101.4,52181.4,978.31,1206.6,2312.06,893.07,2184.91,4496.97,5390.04,806,581.4,714,680,1387.4,2101.4,2781.4
2021,5513.99,16588.45,27504.9,3676.85,22102.44,49607.34,53284.19,6368.66,17218.81,28275.04,4412.22,23587.47,51862.51,56274.73,1168.66,1918.81,2775.04,1012.22,3087.47,5862.51,6874.73,854.67,630.36,770.14,735.37,1485.03,2255.17,2990.54
2022,5846.94,17985.4,29667.44,3976.23,23832.34,53499.78,57476.01,6753.22,18668.85,30498.13,4771.48,25422.07,55920.2,60691.68,1239.23,2080.4,2993.23,1094.64,3319.63,6312.86,7407.5,906.28,683.45,830.69,795.25,1589.73,2420.42,3215.67
2023,6200,19500,32000,4300,25700,57700,62000,7161,20241,32896,5160,27402,60298,65458,1314.06,2255.6,3228.56,1183.77,3569.66,6798.22,7981.99,961,741,896,860,1702,2598,3458
